,1,b3,3,4,b5,5,#5,d7,b7,7,b9,9,#9,11,#11,b13,13
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3,0,7,0,0,3,5,0,0,0,-4,4,5,0,0,0,0,0
3,0,0,7,0,0,5,0,0,5,0,0,0,0,0,0,0,5
4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
b5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
#5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
d7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
b7,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
b9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
#9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
#11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
b13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
